year,id,dist,passen,fare,conc
1997,1,528,152,106,83.86000061
1998,1,528,265,106,81.33000183
1999,1,528,336,113,82.62000275
2000,1,528,298,123,86.12000275
1997,2,861,282,104,57.97999954
1998,2,861,178,105,58.16999817
1999,2,861,204,115,73.19000244
2000,2,861,190,129,53.86000443
1997,3,852,241,207,81.80000305
1998,3,852,253,188,81.72000122
1999,3,852,244,229,79.98000336
2000,3,852,244,247,70.97000122
1997,4,724,233,243,46.04000092
1998,4,724,248,226,46.13999939
1999,4,724,224,229,43.34000015
2000,4,724,339,176,37.15999985
1997,5,1073,396,119,45.70999908
1998,5,1073,529,105,56.31999969
1999,5,1073,494,121,50.08000183
2000,5,1073,710,109,51.96999741
1997,6,318,237,181,91
1998,6,318,213,197,90.68000031
1999,6,318,209,190,92.86000061
2000,6,318,163,171,96.93000031
1997,7,1270,168,200,66.94999695
1998,7,1270,185,218,70.81999969
1999,7,1270,178,229,67.13999939
2000,7,1270,197,220,62.31000519
1997,8,614,173,134,59.79000473
1998,8,614,157,153,63.5
1999,8,614,176,145,55.99000549
2000,8,614,192,161,64.19999695
1997,9,1673,200,149,20.12999916
1998,9,1673,194,155,20.63999939
1999,9,1673,214,162,21.96999931
2000,9,1673,310,152,28.47000122
1997,10,1976,171,271,24.43000031
1998,10,1976,155,242,25.68000031
1999,10,1976,173,221,28.45000076
2000,10,1976,187,214,30.01000023
1997,11,1118,364,181,45.22000122
1998,11,1118,374,182,48.81999969
1999,11,1118,368,183,41.13000107
2000,11,1118,383,188,48.47000122
1997,12,580,1244,97,67.29000092
1998,12,580,962,109,65.30000305
1999,12,580,980,110,66.52999878
2000,12,580,954,117,68.83000183
1997,13,349,400,136,82.52999878
1998,13,349,353,186,79.02999878
1999,13,349,349,184,79.98999786
2000,13,349,319,198,71.91999817
1997,14,223,278,68,79.19999695
1998,14,223,255,71,77.87000275
1999,14,223,255,72,86.63999939
2000,14,223,241,75,84.65000153
1997,15,745,437,132,49.41999817
1998,15,745,385,148,47.45000076
1999,15,745,440,137,49.52000046
2000,15,745,443,151,49.31000137
1997,16,719,197,127,58.13000107
1998,16,719,184,146,66.98000336
1999,16,719,187,135,74.70999908
2000,16,719,178,149,80.61000061
1997,17,487,761,83,71.16999817
1998,17,487,602,110,92.27999878
1999,17,487,597,111,92.33999634
2000,17,487,678,105,92.79000092
1997,18,677,935,103,81.5
1998,18,677,886,112,80.47000122
1999,18,677,842,120,87.27999878
2000,18,677,806,131,87.54000092
1997,19,982,189,190,68.41000366
1998,19,982,183,186,65
1999,19,982,182,202,56.95000458
2000,19,982,181,193,65.75
1997,20,1817,441,224,27.93000031
1998,20,1817,363,240,24.70000076
1999,20,1817,317,265,23.45000076
2000,20,1817,355,250,29.47999763
1997,21,889,207,128,66.41999817
1998,21,889,300,143,83.55000305
1999,21,889,379,145,88.01999664
2000,21,889,372,154,87.5
1997,22,632,194,108,76.25
1998,22,632,201,113,68.55999756
1999,22,632,194,124,65.18000031
2000,22,632,178,131,65.83000183
1997,23,1554,200,134,55.19999695
1998,23,1554,198,164,49.91999817
1999,23,1554,194,158,47.22999954
2000,23,1554,197,169,56.33000183
1997,24,328,1492,66,81.62999725
1998,24,328,1362,65,83.34999847
1999,24,328,1449,64,82.76999664
2000,24,328,1454,68,82.54000092
1997,25,1113,189,144,31.93000031
1998,25,1113,170,151,29.21999931
1999,25,1113,187,153,30.56999969
2000,25,1113,208,156,31.59000015
1997,26,494,209,112,65.30999756
1998,26,494,193,120,70.86000061
1999,26,494,176,124,50.34000397
2000,26,494,167,124,50.98000336
1997,27,610,183,137,73.73000336
1998,27,610,167,150,75
1999,27,610,177,144,60.60000229
2000,27,610,182,158,75.33999634
1997,28,628,368,109,84.44999695
1998,28,628,374,113,75.25
1999,28,628,369,124,81.13999939
2000,28,628,370,133,83.90000153
1997,29,897,456,133,68.76999664
1998,29,897,315,133,42.31999969
1999,29,897,212,143,34.54999924
2000,29,897,202,146,34.5
1997,30,871,224,136,54.68000031
1998,30,871,199,149,56.47000122
1999,30,871,206,151,57.69000244
2000,30,871,205,155,61.62999725
1997,31,1181,252,149,29.63999748
1998,31,1181,261,146,35.08000183
1999,31,1181,284,150,48.38999939
2000,31,1181,288,156,49.16999817
1997,32,935,150,132,62.15999603
1998,32,935,164,149,67.52999878
1999,32,935,158,150,59.11999893
2000,32,935,165,156,56.87000275
1997,33,1648,411,183,36.81999969
1998,33,1648,395,173,35.83000183
1999,33,1648,390,196,29.31999779
2000,33,1648,337,226,40.40999985
1997,34,655,157,274,86.77999878
1998,34,655,156,245,89.09999847
1999,34,655,131,270,84.55999756
2000,34,655,138,295,83.48999786
1997,35,907,346,111,52.52999496
1998,35,907,222,115,62.41999817
1999,35,907,407,114,48.52999878
2000,35,907,490,118,57.08000183
1997,36,412,151,109,89.90000153
1998,36,412,141,119,88.79000092
1999,36,412,148,118,88.75
2000,36,412,147,122,88.34999847
1997,37,324,816,67,73
1998,37,324,785,70,71.76000214
1999,37,324,776,70,77.30999756
2000,37,324,729,72,77.15000153
1997,38,535,242,110,88.76999664
1998,38,535,244,117,66.5
1999,38,535,256,115,66.63999939
2000,38,535,272,121,59.17999649
1997,39,759,157,98,97.29000092
1998,39,759,159,117,96.70999908
1999,39,759,169,117,98.06999969
2000,39,759,161,124,95.61000061
1997,40,125,102,123,91.06999969
1998,40,125,101,127,90.55000305
1999,40,125,101,130,99.88999939
2000,40,125,87,158,99.62000275
1997,41,812,318,207,75.06999969
1998,41,812,349,207,74.80999756
1999,41,812,375,224,73.73999786
2000,41,812,415,248,68.97000122
1997,42,576,1065,167,61.34999847
1998,42,576,837,189,90.11000061
1999,42,576,1187,132,71.22000122
2000,42,576,1268,173,61.61999512
1997,43,449,155,173,90.08000183
1998,43,449,178,152,90.58000183
1999,43,449,183,143,93.30999756
2000,43,449,156,185,92.09999847
1997,44,946,1622,237,71.73000336
1998,44,946,1981,163,78.87999725
1999,44,946,2421,134,70.76000214
2000,44,946,2188,177,74.87000275
1997,45,712,252,185,82.94999695
1998,45,712,410,119,58.45000076
1999,45,712,561,100,54.33000183
2000,45,712,547,115,50.87000275
1997,46,259,241,178,95.26000214
1998,46,259,250,178,95.91000366
1999,46,259,232,205,96.54000092
2000,46,259,206,218,96.13999939
1997,47,227,783,123,55.22999573
1998,47,227,633,183,68.52999878
1999,47,227,554,211,70.23999786
2000,47,227,513,250,69.04000092
1997,48,605,3369,125,45.66999817
1998,48,605,3826,123,46.08000183
1999,48,605,3599,133,49.15000153
2000,48,605,3415,173,45.91999817
1997,49,373,400,269,95.51999664
1998,49,373,454,229,96.76999664
1999,49,373,410,252,95.94999695
2000,49,373,508,216,95.68000031
1997,50,554,857,121,50.72000122
1998,50,554,714,153,51.95000076
1999,50,554,683,184,48.63000107
2000,50,554,616,197,53.67000198
1997,51,1186,186,174,72.34999847
1998,51,1186,132,237,66.80000305
1999,51,1186,151,210,61.43999863
2000,51,1186,170,205,73.27999878
1997,52,191,129,209,98.05999756
1998,52,191,110,221,97.62999725
1999,52,191,94,231,98.04000092
2000,52,191,78,259,96.76999664
1997,53,446,582,165,89
1998,53,446,523,179,93.98999786
1999,53,446,483,200,91.12000275
2000,53,446,450,206,86.47000122
1997,54,732,2621,133,51.36000061
1998,54,732,2683,144,47.58000183
1999,54,732,2709,143,48.52999878
2000,54,732,2644,189,47.68000031
1997,55,432,280,190,91.11000061
1998,55,432,521,112,68.30999756
1999,55,432,584,119,65.94000244
2000,55,432,642,116,62.75
1997,56,1199,1154,168,40.65999985
1998,56,1199,1059,254,40.95999908
1999,56,1199,1158,215,40.33000183
2000,56,1199,1303,221,49.13000107
1997,57,594,1252,120,52.15999985
1998,57,594,1421,109,47.88000107
1999,57,594,1549,115,47.59000015
2000,57,594,1415,132,49.09000015
1997,58,644,115,110,75.66000366
1998,58,644,188,102,85.43000031
1999,58,644,174,110,87.33999634
2000,58,644,184,124,83.58999634
1997,59,581,1694,120,78.29000092
1998,59,581,1644,114,73.38999939
1999,59,581,1588,126,74.33999634
2000,59,581,1653,137,71.72000122
1997,60,515,376,121,80.80999756
1998,60,515,425,112,72.5
1999,60,515,420,127,68.23999786
2000,60,515,460,127,72.54000092
1997,61,306,325,224,91.47000122
1998,61,306,551,128,75.16000366
1999,61,306,682,101,71.30000305
2000,61,306,710,110,66.5
1997,62,859,533,249,82.13999939
1998,62,859,874,129,75.08999634
1999,62,859,918,131,82.11000061
2000,62,859,759,197,81.62000275
1997,63,692,1352,123,48.11000061
1998,63,692,1441,126,42.38999939
1999,63,692,1518,133,48.77999878
2000,63,692,1554,151,45.27999878
1997,64,432,442,206,82.09999847
1998,64,432,491,199,85.58000183
1999,64,432,456,214,84.48999786
2000,64,432,434,235,82.69000244
1997,65,341,198,237,94.34999847
1998,65,341,194,234,96.19000244
1999,65,341,201,247,97.02999878
2000,65,341,176,269,95.68000031
1997,66,270,885,98,85.12000275
1998,66,270,1027,93,72.77999878
1999,66,270,1032,94,76.43000031
2000,66,270,955,119,70.77999878
1997,67,693,887,114,74.66999817
1998,67,693,799,162,67.80000305
1999,67,693,930,135,75.04000092
2000,67,693,808,168,63.66999817
1997,68,1747,721,181,68.05999756
1998,68,1747,688,217,67.65000153
1999,68,1747,715,237,59.85000229
2000,68,1747,816,221,67.51999664
1997,69,303,179,156,83.20999908
1998,69,303,133,204,99.09999847
1999,69,303,121,232,98.11000061
2000,69,303,127,232,98.29000092
1997,70,453,216,184,85.11000061
1998,70,453,219,189,92.69999695
1999,70,453,201,221,90.33000183
2000,70,453,207,226,88.51999664
1997,71,1946,1520,257,60.60000229
1998,71,1946,1441,279,64.98999786
1999,71,1946,1440,293,55.79000092
2000,71,1946,1537,301,63.69000244
1997,72,321,445,152,89.58000183
1998,72,321,370,186,97.70999908
1999,72,321,309,244,96.13999939
2000,72,321,272,272,95.08000183
1997,73,332,1142,88,66.59999847
1998,73,332,1246,85,61.29999924
1999,73,332,1173,97,66.54000092
2000,73,332,1120,106,58.81999588
1997,74,595,816,179,57.95999908
1998,74,595,1513,109,53.02999496
1999,74,595,1566,121,53.06000137
2000,74,595,1591,134,57.59000015
1997,75,669,366,207,42.79999924
1998,75,669,326,208,47.77999878
1999,75,669,394,198,54.25999832
2000,75,669,401,208,53.52000046
1997,76,906,908,215,48.29000092
1998,76,906,963,200,49.93000031
1999,76,906,1068,200,48.11000061
2000,76,906,1192,141,54.59999847
1997,77,302,290,110,81.19999695
1998,77,302,231,158,98.26000214
1999,77,302,208,159,98.75
2000,77,302,176,165,98.88999939
1997,78,214,357,249,98.48000336
1998,78,214,349,241,98.79000092
1999,78,214,312,253,99.23000336
2000,78,214,303,274,99.09999847
1997,79,425,922,103,82.94000244
1998,79,425,1096,102,77.91999817
1999,79,425,1076,110,72.66000366
2000,79,425,998,131,66.55999756
1997,80,756,5083,206,55.29000092
1998,80,756,6172,162,59.06999588
1999,80,756,6793,160,64.98999786
2000,80,756,6768,168,62.26999664
1997,81,508,144,106,91.55000305
1998,81,508,188,86,94.80000305
1999,81,508,254,84,95.25
2000,81,508,272,107,96
1997,82,516,401,145,91.29000092
1998,82,516,472,106,93.56999969
