studyid,black,hispanic,female,appyear,mnce,select,choice,selectyrs,choiceyrs,mnce90,selectyrs1,selectyrs2,selectyrs3,selectyrs4,choiceyrs1,choiceyrs2,choiceyrs3,choiceyrs4,fitted
21,1,0,1,90,44,1,0,4,1,,0,0,0,1,1,0,0,0,3.0964621595996853
26,1,0,0,90,46,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
30,1,0,0,90,20,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
31,1,0,1,90,36,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
33,1,0,0,90,32,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
39,1,0,1,90,76,1,0,4,1,19.0,0,0,0,1,1,0,0,0,3.0964621595996853
43,1,0,1,90,1,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
44,1,0,1,90,17,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
45,1,0,1,90,58,1,1,4,4,,0,0,0,1,0,0,0,1,3.0964621595996853
46,1,0,1,90,15,1,1,4,4,20.0,0,0,0,1,0,0,0,1,3.0964621595996853
47,1,0,1,90,81,1,0,4,1,58.0,0,0,0,1,1,0,0,0,3.0964621595996853
49,1,0,0,90,10,1,1,4,4,66.0,0,0,0,1,0,0,0,1,3.0641042305751913
51,1,0,0,90,37,1,0,4,3,52.0,0,0,0,1,0,0,1,0,3.0641042305751913
53,1,0,0,90,59,1,0,4,1,,0,0,0,1,1,0,0,0,3.0641042305751913
54,1,0,0,90,60,1,0,4,1,46.0,0,0,0,1,1,0,0,0,3.0641042305751913
55,1,0,0,90,47,1,1,4,4,,0,0,0,1,0,0,0,1,3.0641042305751913
57,1,0,1,90,10,1,1,4,3,28.0,0,0,0,1,0,0,1,0,3.0964621595996853
60,1,0,0,90,62,1,1,4,3,54.0,0,0,0,1,0,0,1,0,3.0641042305751913
61,1,0,0,90,10,1,1,4,3,32.0,0,0,0,1,0,0,1,0,3.0641042305751913
62,1,0,0,90,29,1,0,4,2,44.0,0,0,0,1,0,1,0,0,3.0641042305751913
63,1,0,0,90,64,1,1,4,4,61.0,0,0,0,1,0,0,0,1,3.0641042305751913
69,1,0,1,90,63,1,1,4,3,55.0,0,0,0,1,0,0,1,0,3.0964621595996853
71,1,0,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
91,1,0,1,90,57,1,0,4,0,,0,0,0,1,0,0,0,0,3.0964621595996853
132,0,1,1,90,39,1,1,4,3,,0,0,0,1,0,0,1,0,3.1100616915903405
133,0,1,1,90,13,1,1,4,3,,0,0,0,1,0,0,1,0,3.1100616915903405
136,0,1,0,90,66,1,1,4,3,,0,0,0,1,0,0,1,0,3.0777037625658465
138,0,1,0,90,10,1,1,4,3,,0,0,0,1,0,0,1,0,3.0777037625658465
139,0,1,1,90,62,1,1,4,4,58.0,0,0,0,1,0,0,0,1,3.1100616915903405
179,1,0,0,90,31,1,0,4,0,,0,0,0,1,0,0,0,0,3.0641042305751913
192,1,0,1,90,66,1,0,4,0,54.0,0,0,0,1,0,0,0,0,3.0964621595996853
194,1,0,1,90,37,1,0,4,0,,0,0,0,1,0,0,0,0,3.0964621595996853
195,0,0,1,90,59,1,0,4,0,61.0,0,0,0,1,0,0,0,0,3.0670327866632072
199,1,0,1,90,42,1,1,4,4,1.0,0,0,0,1,0,0,0,1,3.0964621595996853
200,1,0,1,90,47,1,1,4,4,33.0,0,0,0,1,0,0,0,1,3.0964621595996853
207,1,0,0,90,60,1,0,4,0,58.0,0,0,0,1,0,0,0,0,3.0641042305751913
212,1,0,0,90,38,1,0,4,0,,0,0,0,1,0,0,0,0,3.0641042305751913
214,1,0,1,90,17,1,1,4,2,,0,0,0,1,0,1,0,0,3.0964621595996853
215,0,0,1,90,41,1,1,4,2,,0,0,0,1,0,1,0,0,3.0670327866632072
221,1,0,1,90,35,1,1,4,3,,0,0,0,1,0,0,1,0,3.0964621595996853
223,0,0,1,90,50,1,1,4,2,,0,0,0,1,0,1,0,0,3.0670327866632072
225,0,0,1,90,66,1,1,4,4,,0,0,0,1,0,0,0,1,3.0670327866632072
226,1,0,0,90,15,1,1,4,4,28.0,0,0,0,1,0,0,0,1,3.0641042305751913
228,0,0,0,90,58,1,1,4,4,69.0,0,0,0,1,0,0,0,1,3.0346748576387133
230,0,0,1,90,68,1,1,4,4,,0,0,0,1,0,0,0,1,3.0670327866632072
