state,district ,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,tenure,lawyer,win88,win90,rptchall
"""AL""",2,0,51,94,596096,163663,234923,.,26,1,1,1,0
"""AL""",3,1,74,65,176550,22989,679297,443927,1,0,1,1,0
"""AL""",7,1,71,68,238446,58952,328296,8737,4,1,1,1,0
"""AK""",1,0,52,62,564759,164732,626377,402477,17,0,1,1,0
"""AZ""",2,1,66,73,112373,1445,99607,3065,29,1,1,1,1
"""AZ""",3,0,57,69,225149,9353,319690,26281,14,0,1,1,0
"""AZ""",4,0,61,87,442366,38851,316476,.,4,1,1,1,0
"""AR""",3,0,71,75,105354,15730,159221,60054,24,0,1,1,0
"""AR""",4,1,72,69,480853,511,570155,21393,12,1,1,1,0
"""CA""",2,0,64,59,515020,5951,696748,193915,4,0,1,1,0
"""CA""",3,1,60,71,734005,4628,638688,7695,12,1,1,1,1
"""CA""",5,1,77,76,440973,154858,616936,19245,3,0,1,1,0
"""CA""",6,1,68,73,655402,32724,351687,50532,8,0,1,1,0
"""CA""",7,1,61,68,448026,47912,269887,14710,16,1,1,1,0
"""CA""",9,1,58,73,300996,210089,410540,.,18,0,1,1,0
"""CA""",10,1,63,86,209243,2581,173537,.,28,1,1,1,0
"""CA""",11,1,66,71,620782,97030,269510,95575,10,0,1,1,1
"""CA""",12,0,61,52,685135,103839,1440639,1089570,2,1,1,1,0
"""CA""",16,1,74,79,272710,23849,252336,69563,14,1,1,1,0
"""CA""",17,0,45,72,622184,538354,206677,5227,.,.,1,0,0
"""CA""",19,0,55,50,658365,241815,1470674,1548193,16,1,1,1,0
"""CA""",23,1,62,64,201404,360389,140486,100956,14,1,1,1,1
"""CA""",24,1,69,72,287505,1830,191334,15449,16,1,1,1,1
"""CA""",26,1,61,70,450401,82453,409233,.,8,1,1,1,0
"""CA""",27,1,58,68,587961,146206,398597,15239,8,1,1,1,0
"""CA""",28,1,73,76,113669,3799,114523,.,12,1,1,1,1
"""CA""",30,1,58,60,186130,72867,460622,382111,8,0,1,1,0
"""CA""",32,1,62,67,462503,7579,457410,20608,22,0,1,1,1
"""CA""",33,0,64,69,172451,29177,186183,.,10,0,1,1,0
"""CA""",34,1,61,63,217810,75123,227098,149886,8,0,1,1,0
"""CA""",36,1,53,54,822686,538156,532897,218696,18,0,1,1,0
"""CA""",37,0,50,64,602444,624560,122839,13558,8,0,1,1,0
"""CA""",40,0,68,67,682365,36124,1110126,47746,2,1,1,1,0
"""CA""",42,0,59,64,398963,28350,494487,11889,2,0,1,1,1
"""CO""",1,1,64,70,521500,161266,217503,26040,18,1,1,1,0
"""CO""",2,1,61,63,396017,49080,721647,85095,4,1,1,1,0
"""CO""",3,1,70,78,335760,26917,482789,17936,4,0,1,1,0
"""CO""",5,0,66,75,111435,15288,183229,930,4,0,1,1,0
"""CO""",6,0,65,63,280103,2958,636204,489303,7,0,1,1,0
"""CT""",2,1,60,64,464500,112881,727919,246903,10,0,1,1,0
"""CT""",4,0,75,72,397417,90634,372680,44410,3,0,1,1,0
"""CT""",6,0,74,26,556718,22211,399370,128853,8,0,1,1,0
"""DE""",1,1,66,68,521336,49770,371747,184712,8,0,1,1,0
"""FL""",1,1,52,67,158280,182229,210940,23912,12,0,1,1,0
"""FL""",4,0,56,50,634891,1067366,313415,1069699,2,1,1,1,0
"""FL""",6,0,59,54,462925,26443,408292,503654,2,0,1,1,0
"""FL""",14,1,66,55,469101,213139,971883,777988,2,1,1,1,0
"""FL""",18,0,60,53,560847,112071,1059283,886568,1,0,1,1,0
"""FL""",19,1,62,72,500117,160220,337596,4907,36,1,1,1,0
"""GA""",1,1,71,67,399035,19130,337048,40461,8,0,1,1,1
"""GA""",4,1,52,60,711015,696859,516737,696301,2,0,1,1,0
"""GA""",5,1,76,78,108118,7755,101540,6047,4,0,1,1,1
"""GA""",6,0,50,59,1538945,333873,838708,358354,12,0,1,1,1
"""GA""",7,1,60,65,404874,18692,382281,60694,7,1,1,1,0
"""GA""",9,1,56,63,318247,134772,405040,64400,14,1,1,1,1
"""GA""",10,1,58,64,937464,154326,193123,6760,14,1,1,1,0
"""ID""",2,1,64,63,406219,141681,502083,206960,6,0,1,1,0
"""IL""",1,1,94,96,125509,42901,145905,.,7,0,1,1,0
"""IL""",4,1,59,50,472757,642391,359942,348339,2,1,1,1,0
"""IL""",5,1,66,61,171746,42218,165144,48940,8,0,1,1,0
"""IL""",6,0,67,74,270435,1055,281229,26555,16,1,1,1,0
"""IL""",9,1,71,66,839106,15164,122900,28324,26,1,1,1,1
"""IL""",11,1,54,65,855952,407617,239158,41259,26,0,1,1,0
"""IL""",17,1,67,65,390401,115495,471233,124133,8,1,1,1,0
"""IL""",19,1,66,64,258093,3581,193205,16241,6,1,1,1,1
"""IL""",20,1,66,69,209360,44861,251634,57708,8,1,1,1,1
"""IL""",21,1,66,53,380559,26230,394412,69486,2,0,1,1,1
"""IN""",1,1,66,77,299280,21355,141855,.,6,1,1,1,0
"""IN""",2,1,59,53,773178,595457,444422,332880,16,0,1,1,1
"""IN""",3,0,49,54,745145,473055,1085140,584006,.,.,1,0,0
"""IN""",4,1,61,51,752362,575363,415975,401811,1,0,1,1,0
"""IN""",5,1,53,56,652280,781224,689086,244985,4,0,1,1,0
"""IN""",6,0,63,73,311727,41180,333723,11743,8,0,1,1,0
"""IN""",8,1,55,62,446040,146961,551484,130243,8,1,1,1,0
"""IN""",10,1,66,61,14816,13201,35786,24919,16,1,1,1,0
"""IA""",5,0,68,64,418134,63591,420730,115701,6,0,1,1,0
"""IA""",6,0,72,64,322563,42597,523108,175951,4,0,1,1,0
"""KS""",2,1,63,73,504861,84568,388866,119263,8,1,1,1,0
"""KS""",3,0,60,74,209986,76007,234583,13483,6,0,1,1,0
"""KS""",4,1,71,64,355581,4317,545755,149035,14,1,1,1,0
"""KY""",2,1,66,61,6768,144315,8397,84102,37,1,1,1,1
"""KY""",3,1,61,70,303488,327390,371431,4931,20,1,1,1,0
"""KY""",4,0,69,74,563409,76580,468870,23636,4,0,1,1,0
